<generator object PPO.save_probs.<locals>.<genexpr> at 0x000002738B42BAE0>
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[84.73767853 95.54849243 95.38950348]
[77.7424469  91.57392883 99.20508575]
[ 69.15739441  88.5532608  100.        ]
[ 51.82830048  75.51669312 100.        ]
[ 58.82352829  77.7424469  100.        ]
[ 56.75675583  73.60890198 100.        ]
[ 78.37837982  93.48171997 100.        ]
[ 55.9618454   77.10652161 100.        ]
[ 69.95230865  82.82988739 100.        ]
[ 76.47058868  85.53259277 100.        ]
[ 70.2702713   80.60413361 100.        ]
[ 76.47058868  89.34817505 100.        ]
[ 72.81398773  86.00953674 100.        ]
[ 76.62957001  97.77424622 100.        ]
